,value
2021-05-14 14:00:00+00:00,-5.4
2021-05-14 15:00:00+00:00,-4.5
2021-05-14 16:00:00+00:00,1.5
2021-05-14 17:00:00+00:00,1.6
2021-05-14 18:00:00+00:00,5.9
2021-05-14 19:00:00+00:00,9.3
2021-05-14 20:00:00+00:00,6.0
2021-05-14 21:00:00+00:00,4.4
2021-05-14 22:00:00+00:00,-0.4
2021-05-14 23:00:00+00:00,-7.0
2021-05-15 00:00:00+00:00,-8.1
2021-05-15 01:00:00+00:00,-7.6
2021-05-15 02:00:00+00:00,-6.4
2021-05-15 03:00:00+00:00,-1.9
2021-05-15 04:00:00+00:00,1.1
2021-05-15 05:00:00+00:00,2.8
2021-05-15 06:00:00+00:00,9.4
2021-05-15 07:00:00+00:00,15.1
2021-05-15 08:00:00+00:00,13.1
2021-05-15 09:00:00+00:00,13.9
2021-05-15 10:00:00+00:00,6.6
2021-05-15 11:00:00+00:00,0.6
2021-05-15 12:00:00+00:00,-1.8
2021-05-15 13:00:00+00:00,-4.6
2021-05-15 14:00:00+00:00,-3.9
